,Sensor Ext 1,,,,,,Sensor Int 1,,,,,,Sensor Int 2,,,
14:18:14,20.83,53.78,518,395,2.64,5,22.01,46.82,554,80,3.88,9,23.11,46.57,553,PRINTING
14:19:14,19.19,50.44,540,347,0.07,50,24.01,36.53,416,254,2.3,37,24.13,51.43,598,IDLE
14:20:14,24.41,30.06,542,341,3.28,10,22.87,51.96,556,227,3.91,17,23.02,53.14,589,IDLE
14:21:14,25.08,41.2,572,333,4.62,29,20.63,30.4,402,251,2.27,19,22.85,49.19,562,PAUSED
14:22:14,18.56,34.99,473,367,1.29,30,21.47,40.05,409,26,1.26,36,22.96,57.53,397,IDLE
14:23:14,23.32,41.62,467,401,2.55,24,,,,,,,19.88,36.14,436,ERROR
14:24:14,22.98,59.48,435,222,4.22,2,20.22,37.04,383,455,4.12,47,23.34,38.76,415,PRINTING
14:25:14,20.97,43.95,571,357,3.73,14,27.49,52.11,506,287,4.31,6,19.76,45.58,479,IDLE
14:26:14,24.21,30.32,420,164,4.02,39,26.13,30.06,541,335,0.64,0,26.29,55.43,496,ERROR
14:27:14,20.26,39.9,561,38,4.69,50,26.1,48.97,529,39,4.47,48,27.69,35.31,403,ERROR
14:28:14,22.89,51.3,587,231,0.28,36,18.05,54.93,443,335,4.28,8,25.62,52.63,435,IDLE
14:29:14,19.62,50.12,444,2,2.39,40,18.45,32.3,563,87,1.34,44,23.27,54.77,433,ERROR
14:30:14,26.13,44.08,515,341,0.21,7,25.69,55.38,480,270,3.99,30,19.65,54.5,478,PAUSED
14:31:14,25.8,49.18,481,395,2.07,31,27.41,30.23,506,448,0.57,10,21.53,56.82,431,PRINTING
14:32:14,25.2,52.28,464,185,4.65,1,23.01,47.63,431,226,3.75,10,21.27,54.94,486,PRINTING
14:33:14,27.45,55.08,527,459,3.72,9,23.62,41.66,430,131,4.31,42,27.99,35.58,533,PAUSED
14:34:14,19.76,43.95,412,435,2.8,5,25.8,51.94,400,100,1.03,28,25.93,30.41,531,PAUSED
14:35:14,23.95,36.47,386,298,2.44,12,21.87,44.45,444,103,0.32,35,23.04,51.48,596,PAUSED
14:36:14,18.22,38.11,550,130,1.56,49,23.45,30.1,478,425,1.66,8,25.66,39.71,542,IDLE
14:37:14,26.91,51.37,461,167,3.27,27,25.73,55.31,588,320,2.86,3,18.64,54.19,526,ERROR
14:38:14,24.49,31.74,459,361,2.93,31,23.71,58.32,427,300,1.75,0,23.63,43.45,534,IDLE
14:39:14,,,,,,,,,,,,,19.72,35.06,503,ERROR
14:40:14,27.05,37.5,577,447,0.82,9,25.5,47.4,449,198,0.74,13,20.36,56.97,590,PAUSED
14:41:14,26.33,55.2,538,53,4.14,45,20.32,41.83,497,341,1.68,34,23.02,37.93,503,PAUSED
14:42:14,23.06,35.96,549,190,4.41,10,20.28,49.83,591,178,3.5,4,21.38,35.46,574,IDLE
14:43:14,23.78,58.14,527,411,1.2,6,22.41,44.83,430,165,4.63,45,24.84,41.39,520,PRINTING
14:44:14,21.6,46.51,499,434,1.38,9,20.78,47.67,486,43,3.14,28,24.38,44.73,510,PRINTING
14:45:14,19.64,38.78,390,498,4.65,43,20.41,33.74,515,362,2.92,38,19.31,56.6,592,PRINTING
14:46:14,25.32,57.44,489,472,2.1,17,27.9,56.24,433,174,2.89,22,24.49,43.05,427,IDLE
14:47:14,22.31,57.37,588,56,3.03,5,25.72,59.33,388,67,1.22,42,23.37,57.74,467,PAUSED
14:48:14,25.7,36.6,455,228,1.43,1,19.26,32.99,493,244,4.08,35,18.87,32.76,573,PRINTING
